Model,Params,MSE,MAE,R2
Decision Tree,"{'max_depth': 7, 'min_samples_split': 5}",2.3801191718932376e+16,104301347.21605478,0.655826062154992
Decision Tree,"{'max_depth': 7, 'min_samples_split': 2}",2.387407334376746e+16,104377481.10845049,0.6547483468064366
Decision Tree,"{'max_depth': 5, 'min_samples_split': 2}",2.5169176009516344e+16,108680500.97455935,0.6359945635632858
Decision Tree,"{'max_depth': 5, 'min_samples_split': 5}",2.519768009670111e+16,108715221.1788621,0.6355857477273854
Decision Tree,"{'max_depth': 3, 'min_samples_split': 2}",2.9628145486400756e+16,120244565.60742673,0.5717560982800453
Decision Tree,"{'max_depth': 3, 'min_samples_split': 5}",2.9628145486400748e+16,120244565.60742673,0.5717560982800453
Lasso Regression,{'alpha': 10},3.338665936186428e+16,131579758.27871856,0.5173502584839628
Lasso Regression,{'alpha': 1},3.3386663778455124e+16,131579772.37275104,0.5173501953703878
Lasso Regression,{'alpha': 0.1},3.338666422017044e+16,131579773.78212228,0.5173501890582226
Lasso Regression,{'alpha': 0.01},3.338666426434259e+16,131579773.92306247,0.517350188426998
Linear Regression,{},3.338666426925075e+16,131579773.93872245,0.5173501883568598
Polynomial Regression,{'degree': 2},3.5603526729294516e+16,128803839.11196479,0.4862487362482336
Polynomial Regression,{'degree': 3},3.5374913743010816e+19,844026966.0802734,-500.8830512378237
