Model,Params,MAE,RMSE,R2
LinearRegression,{},0.3348856320788555,0.46486240865043504,0.5181867436925331
PolynomialRegression,{'degree': 2},0.3152764623453291,0.42921002680661874,0.5892581142372318
PolynomialRegression,{'degree': 3},0.41459736223368016,1.2499999724236326,-3.7935506607039344
DecisionTree,"{'max_depth': 5, 'min_samples_split': 2}",0.27770071766951354,0.40327346147372,0.6373451676074625
DecisionTree,"{'max_depth': 5, 'min_samples_split': 5}",0.2775814841236507,0.40296371792532915,0.6379102957409719
DecisionTree,"{'max_depth': 5, 'min_samples_split': 10}",0.2776352358199995,0.4029729341748286,0.637893506157942
DecisionTree,"{'max_depth': 10, 'min_samples_split': 2}",0.2637381690692582,0.40250340744488133,0.6384638552891732
DecisionTree,"{'max_depth': 10, 'min_samples_split': 5}",0.26272333622616456,0.39917362883735574,0.6443460042614805
DecisionTree,"{'max_depth': 10, 'min_samples_split': 10}",0.2629932914572914,0.3963606867936323,0.6495027539296812
DecisionTree,"{'max_depth': None, 'min_samples_split': 2}",0.30005814440960965,0.48725021161184445,0.47044018948410715
DecisionTree,"{'max_depth': None, 'min_samples_split': 5}",0.2921116990651048,0.46777486095027776,0.5118202434510812
DecisionTree,"{'max_depth': None, 'min_samples_split': 10}",0.2824401813855045,0.4416689065925931,0.5648105371387898
Lasso,{'alpha': 0.001},0.33630339072729853,0.4651886428437648,0.5175143625419026
Lasso,{'alpha': 0.01},0.34976307083923436,0.47837105616246733,0.48983130027434185
Lasso,{'alpha': 0.1},0.4079607175699394,0.5172971237782202,0.40359777056572543
Lasso,{'alpha': 1.0},0.5603723604010943,0.6699019651187832,-0.00017439974574342542
Lasso,{'alpha': 10.0},0.5603723604010943,0.6699019651187832,-0.00017439974574342542
