names,budget_x,revenue,score_scaled,budget_x_scaled,revenue_scaled,year_scaled,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_Unknown,genre_War,genre_Western,lang_ Chinese,lang_ English,lang_ French,lang_ German,lang_ Italian,lang_ Japanese,lang_ Korean,"lang_ Spanish, Castilian",lang_Other,country_ES,country_FR,country_GB,country_HK,country_IT,country_JP,country_KR,country_Other,country_US,status_ Post Production,status_ Released
Creed III,75000000.0,271616668.0,0.6666666666666666,0.2760600706713781,0.28682651915109886,0.5555555555555556,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Avatar: The Way of Water,241400000.0,1011696957.05,1.0833333333333333,2.1135159010600706,2.1717566559077928,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
The Super Mario Bros. Movie,100000000.0,724459031.0,0.9166666666666666,0.5521201413427562,1.4401827561000695,0.5555555555555556,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Mummies,12300000.0,34200000.0,0.4166666666666667,-0.4162985865724382,-0.31785629581213615,0.5555555555555556,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Supercell,77000000.0,340941958.6,-0.3333333333333333,0.29814487632508835,0.4633929423145825,0.5555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
Cocaine Bear,35000000.0,80000000.0,0.08333333333333333,-0.16563604240282687,-0.2012070598565706,0.5555555555555556,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
John Wick: Chapter 4,100000000.0,351349364.0,1.25,0.5521201413427562,0.48989983943663107,0.5555555555555556,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Puss in Boots: The Last Wish,90000000.0,483480577.0,1.5,0.4416961130742049,0.826428333810694,0.5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Attack on Titan,71000000.0,254946484.2,-0.5,0.2318904593639576,0.2443687854500323,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
The Park,119200000.0,488962491.0,-0.5833333333333334,0.7641342756183745,0.8403903661179892,0.5555555555555556,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
